"Name","Description","Category","Sub-Category","Price (INR)","Compare-At Price (INR)","Sizes","Available Sizes","Tags","Image URLs"
"LEVEL7 Field Unisex Oversized T-Shirt","Bottle green represents stability, balance, and grounding. A muted shade drawn from nature, chosen for its calm presence and versatility. The oversized, drop-shoulder silhouette keeps the design relaxed while maintaining a clean, considered form. Simple by design. Intentional in use.","T-Shirts","Oversized T-Shirts","977.00","1577.00","S, M, L, XL","S, M, L, XL","unisex, oversized, t-shirts","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/BottleGreenFront2.png?v=1767171154 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/BottleGreenBack.png?v=1767171154 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/BottleGreenBack2.png?v=1767171154 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/BottleGreenFront3.png?v=1767171154 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/BottleGreenTexture.png?v=1767171154 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/BottleGreenFront.png?v=1767171154"
"LEVEL7 Reserve Unisex Oversized T-Shirt","Wine reflects depth, restraint, and maturity. A composed tone designed to feel deliberate rather than loud. The oversized, drop-shoulder fit gives the piece structure and ease, making it suitable for everyday wear without visual noise. Built for comfort. Defined by proportion.","T-Shirts","Oversized T-Shirts","977.00","1577.00","S, M, L, XL","S, M, L, XL","unisex, oversized, t-shirts","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Wine_Basic_Front_2.png?v=1768539480 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Wine_Basic_Front.png?v=1768539417 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Wine_Basic_Back_2.png?v=1768539378 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Wine_Basic_Back.png?v=1768539354 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Wine_Basic_Texture.png?v=1768539462 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Wine_Basic_Full.png?v=1768539435"
"LEVEL7 Axis Unisex Drop-Shoulder Hoodie","Steel grey represents balance, precision, and restraint. A neutral tone designed to hold everything together—calm, stable, and uninterrupted. The color reflects focus without severity, making it adaptable across moments and settings. Constructed in an oversized, drop-shoulder silhouette that prioritizes structure, comfort, and proportion. Built to last. Designed to stay relevant.","Hoodies","Drop-Shoulder Hoodies","1777.00","3077.00","S, M, L, XL","","unisex, oversized, drop-shoulder, hoodies","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Axis_Front.png?v=1768540897 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Axis_Front2.png?v=1768540897 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Axis_FrontStand.png?v=1768540897 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Axis.png?v=1768540897 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Axis_Side2.png?v=1768540876"
"LEVEL7 Planetary Reset Unisex Drop-Shoulder Hoodie","A visual exploration of reset and renewal. The planetary graphic represents cycles breaking and reforming—movement after stillness, clarity after chaos. Set against a warm tan base, the design balances cosmic scale with grounded tone, making the statement intentional rather than loud. Built on an oversized, drop-shoulder silhouette for relaxed structure and everyday wear.","Hoodies","Drop-Shoulder Hoodies","1977.00","3577.00","S, M, L, XL","S, M, L, XL","unisex, oversized, drop-shoulder, hoodies","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Planet_Front.png?v=1768540929 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_PlanetBack.png?v=1768540942 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Planet_FrontStand.png?v=1768540942 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Planet_Seat.png?v=1768540942"
"LEVEL7 Grounded Unisex Drop-Shoulder Hoodie","Coffee reflects steadiness, warmth, and control. A neutral tone designed to anchor the look and slow the pace. Built for everyday wear where consistency matters more than attention.","Hoodies","Drop-Shoulder Hoodies","1777.00","3077.00","S, M, L, XL","S, M, L, XL","unisex, oversized, drop-shoulder, hoodies","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Coffee_Grounded_Front.png?v=1768540989 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Coffee_Grounded.png?v=1768540989 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Coffee_Grounded_Back.png?v=1768540989 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Coffee_Grounded_Side.png?v=1768540977 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Coffee_Grounded_Side2.png?v=1768540978"
"LEVEL7 Core Unisex Oversized Hoodie","Black represents focus, discipline, and absolute clarity. Removed of distraction. Reduced to essentials. Designed to disappear—so your intent doesn’t.","Hoodies","Oversized Hoodies","1777.00","3077.00","S, M, L, XL","S, M, L, XL","unisex, oversized, hoodies","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Front2.png?v=1768541506 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core.png?v=1768541506 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Back.png?v=1768541506 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Front.png?v=1768541506 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Side.png?v=1768541493 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Stand.png?v=1768541493 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Style.png?v=1768541493 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Core_Walk.png?v=1768541493"
"LEVEL7 Reserve Unisex Oversized Hoodie","Wine reflects depth, maturity, and emotional control. A color associated with patience, restraint, and inner certainty. Designed for those who move with intention, not urgency.","Hoodies","Oversized Hoodies","1777.00","3077.00","S, M, L, XL","S, M, L, XL","unisex, oversized, hoodies","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Reserve.png?v=1768541293 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Reserve_Back.png?v=1768541293 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Reserve_Front.png?v=1768541293 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Reserve_Front2.png?v=1768541293 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Reserve_Side.png?v=1768541293 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Reserve_Side2.png?v=1768541293"
"LEVEL7 Foundation Unisex Drop-Shoulder Hoodie","Royal blue stands for composure, depth, and quiet authority. Designed for clarity of mind and control of pace. No graphics. No excess. Just presence.","Hoodies","Drop-Shoulder Hoodies","1777.00","3077.00","S, M, L, XL","S, M, L, XL","unisex, oversized, drop-shoulder, hoodies","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Foundation_Front.png?v=1768541346 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Foundation.png?v=1768541346 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Foundation_Back.png?v=1768541346 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Foundation_Side.png?v=1768541335 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/Level7_Foundation_Side2.png?v=1768541335"
"You are Loved Unisex Minimalistic Oversized T-shirt","Spread love with our 'You Are Loved' T-shirt. This inspiring design features the phrase ""You Are Loved"" surrounded by other elements, symbolizing the importance of love and its ability to connect people. Share love with the world and make a difference.","T-Shirts","Minimalistic Oversized T-Shirts","1177.00","1977.00","S, M, L, XL, 2XL","S, M, L, XL","unisex, oversized, minimalistic, t-shirts","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-171.jpg?v=1728671219 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-163.jpg?v=1728671220 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-160.jpg?v=1728671220 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-167.jpg?v=1728671220"
"Perception Unisex Minimalistic Oversized T-shirt","Change your perspective with our 'Perception' T-shirt. This inspiring graphic showcases the word ""Perception"" in a dynamic layout, encouraging you to challenge your assumptions and see things from a new angle. Expand your worldview.","T-Shirts","Minimalistic Oversized T-Shirts","1177.00","1577.00","S, M, L, XL, 2XL","S, M, L, XL","unisex, oversized, minimalistic, t-shirts","https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-134.jpg?v=1728670696 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-131.jpg?v=1728670696 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-129.jpg?v=1728670696 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-132.jpg?v=1728670696 | https://cdn.shopify.com/s/files/1/0649/1176/9783/files/05.10.2024-133.jpg?v=1728670696"
